D;Var;rep;P;Prow;Pnr;row;pl;inpl;Ex;alaph;aph;aphtot;nas;macr;cat;wf;syr;ori;coc
20.06.2018;PEB;M;7;1;3;5;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;5;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;8;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;8;5;1;0;1;1;2;2;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;8;10;1;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;8;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;8;20;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;9;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;9;5;1;0;1;1;2;2;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;9;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;9;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;9;20;0;0;0;0;0;0;0;0;0;0;1;0
20.06.2018;PEB;M;7;1;3;12;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;12;5;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;12;10;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;12;15;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;12;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;1;1;0;1;0;1;1;1;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;1;5;0;1;0;1;1;1;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;1;10;0;1;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;1;15;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;1;20;0;0;0;1;1;1;0;0;0;0;0;1
20.06.2018;NF;M;8;1;4;4;1;0;1;0;0;0;0;0;0;0;0;1;0
20.06.2018;NF;M;8;1;4;4;5;1;1;0;0;0;0;0;0;0;1;0;0
20.06.2018;NF;M;8;1;4;4;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;4;15;1;0;0;0;0;0;0;0;0;1;0;0
20.06.2018;NF;M;8;1;4;4;20;0;1;0;0;0;0;0;0;0;1;0;0
20.06.2018;NF;M;8;1;4;5;1;0;0;0;0;0;0;0;0;0;0;0;1
20.06.2018;NF;M;8;1;4;5;5;1;1;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;5;10;1;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;5;15;1;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;5;20;0;1;0;1;1;1;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;8;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;8;5;1;1;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;8;10;1;0;0;0;0;0;0;0;0;0;0;1
20.06.2018;NF;M;8;1;4;8;15;1;1;0;1;1;1;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;8;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;9;1;0;1;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;9;5;1;1;0;1;1;1;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;9;10;1;1;0;0;0;0;0;0;0;0;1;0
20.06.2018;NF;M;8;1;4;9;15;1;0;1;1;2;2;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;9;20;0;1;0;1;1;1;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;12;1;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;12;5;0;1;0;1;1;1;0;0;0;0;1;0
20.06.2018;NF;M;8;1;4;12;10;0;1;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;12;15;0;1;1;0;1;1;0;0;0;0;0;0
20.06.2018;NF;M;8;1;4;12;20;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;1;1;0;0;0;1;1;1;0;0;0;1;0;0
20.06.2018;PEG;M;9;1;5;1;5;0;1;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;1;10;0;0;0;1;1;1;0;0;0;1;0;0
20.06.2018;PEG;M;9;1;5;1;15;0;1;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;1;20;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;4;1;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;4;5;1;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;4;10;1;1;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;4;15;1;1;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;4;20;0;1;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;5;1;0;1;0;1;1;1;0;0;0;0;1;0
20.06.2018;PEG;M;9;1;5;5;5;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;5;10;1;1;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;5;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;5;20;0;1;0;1;1;1;0;0;0;0;1;0
20.06.2018;PEG;M;9;1;5;8;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;8;5;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;8;10;1;1;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;8;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;8;20;0;0;0;0;0;0;0;1;0;0;0;0
20.06.2018;PEG;M;9;1;5;9;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;9;5;1;1;0;1;1;1;0;0;0;1;0;0
20.06.2018;PEG;M;9;1;5;9;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;9;15;1;1;0;1;1;1;0;0;0;0;0;0
